skill,freq,skill_id,valuation,new_value
financial markets,3,65,3.237055092384948,16
sharepoint,1,132,6.973426301001876,29
arduino,2,18,15.313453655555296,37
latex,1,88,8.458802883562928,26
embedded software,3,60,30.744914609103546,23
ruby on rails,4,127,11.618736405678522,19
user interface / ia,5,154,14.98616294965129,14
microsoft exchange,1,102,9.58818754218428,1
telemarketing,4,147,16.607723132024127,26
polish,2,115,3.3302995550883034,24
pcb layout,7,107,13.010822472885925,18
bulk marketing,11,30,10.936169575665511,26
accounting,8,6,6.040057241126702,7
caricature &amp; cartoons,23,38,28.150381513255283,36
business cards,15,32,5.371823567350697,13
reviews,10,125,10.338364992427405,17
windows desktop,29,168,17.071079404295652,37
windows server,6,169,9.295655190482258,39
unix,8,153,6.192757246663923,32
mechanical engineering,9,98,12.966168047134461,22
copy typing,12,42,7.794422882805676,21
brochure design,25,29,4.356219289110999,17
electronics,17,58,6.608285080925017,24
psd to html,19,122,8.085793819608291,2
after effects,32,9,6.633178821387148,37
3ds max,20,4,1.764712026171015,23
photoshop design,43,113,6.564322261787281,23
music,9,104,8.62321315583484,25
web hosting,25,163,12.067923015884647,33
3d modelling,47,2,12.403094395419776,45
classifieds posting,5,39,10.64654414601349,17
video broadcasting,6,155,26.355255466737646,21
drupal,8,52,15.332707535821168,15
link building,27,90,11.629803549440858,21
microsoft access,15,101,1.0383892299018709,29
xml,23,172,4.598300521968474,22
finance,8,64,9.525547880991676,24
cms,9,40,9.755444263871711,29
youtube,13,174,10.99919689572228,44
email marketing,6,59,16.472602413643273,36
academic writing,62,5,4.9795837686625966,12
joomla,49,85,4.679957601715033,30
mobile phone,58,103,7.081535302353911,14
illustrator,98,76,14.771548247179242,23
web scraping,49,164,2.92805631541434,34
copywriting,78,43,7.546672927301931,10
logo design,234,92,3.106429513019388,27
internet marketing,87,78,3.2899100127287504,30
photoshop,224,112,4.604702712130673,14
facebook marketing,47,63,7.560163280909197,26
